t_s,est_n_m,est_e_m,est_vn_mps,est_ve_mps,est_bax_mps2,est_bay_mps2,height_used_m,flow_vn_mps,flow_ve_mps,flow_valid,flow_reason,safety_mode,warnings,innov_vn_mps,innov_ve_mps,true_n_m,true_e_m,true_vn_mps,true_ve_mps,true_alt_m,of_quality,texture_class
0.73,0.01919637444226747,0.08419555273653614,0.0520980145547198,0.12123786223996266,0.005227172091008717,0.004768863310706266,1.1162422431187082,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0212752851736779,0.0795882660602606,0.0564350380336119,0.1142179687140149,1.081015208297527,,textured_floor
0.74,0.019721323810257752,0.08540604756372921,0.052891859043336056,0.12086110319865044,0.005227172091008717,0.004768863310706266,1.0845607595254236,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0218467690575335,0.0807319872824796,0.0571483883855599,0.1143721222219025,1.081413085206088,,textured_floor
0.75,0.020256432647760725,0.08661022688332225,0.0541299084572582,0.11997476071995508,0.005227172091008717,0.004768863310706266,1.097013209771909,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0224253626332925,0.0818772373753627,0.0578593575759009,0.1145250092883077,1.0818098847410458,,textured_floor
0.76,0.02101837494777566,0.0880726533368977,0.05493163969336434,0.12008035402495018,0.004805753831138488,0.0042690970404439576,1.0870456671699642,0.058743940294818386,0.12469573585172915,1,OK,OP_VALID,,0.0042790135269132334,0.00518041029113081,0.0230110418055673,0.0830240036107188,0.0585679172274807,0.114676623535604,1.0822055939629784,231.31856303097655,textured_floor
0.77,0.021571717324105028,0.08927133124417398,0.055736835572509164,0.11965522743030518,0.004805753831138488,0.0042690970404439576,1.101635166992031,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0236037821966887,0.0841722731968118,0.0592740391121353,0.114826958609306,1.082600199996138,,textured_floor
0.78,0.022134980807602313,0.09046502054202515,0.056915861126947735,0.119082632139929,0.004805753831138488,0.0042690970404439576,1.0780367021382,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0242035591482128,0.0853220332785947,0.0599776951524095,0.1149760081782876,1.0829936900291974,,textured_floor
0.79,0.022706287854138914,0.09165269798256853,0.057345548180372775,0.11845285596874722,0.004805753831138488,0.0042690970404439576,1.0674547240033856,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0248103477224455,0.0864732709379447,0.0606788574232664,0.115123765934999,1.0833860513159927,,textured_floor
0.8,0.023017572609190098,0.09218884255126539,0.05781581809924049,0.1168391466213181,0.005330225662920244,0.005501993008647363,1.095248907349624,0.04557624324415947,0.08719011690971483,1,OK,OP_VALID,,-0.01280345862263383,-0.031014976386713772,0.0254241227039833,0.0876259731939015,0.0613774981537854,0.1152702255956833,1.0837772711762637,185.7038677618524,textured_floor
0.81,0.02359639137623435,0.09335580419385792,0.057947935309610454,0.11655318189718639,0.005330225662920244,0.005501993008647363,1.0886507183200962,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0260448586012718,0.0887801270029075,0.0620735897288502,0.1154153809005924,1.0841673369963862,,textured_floor
0.8200000000000001,0.024177569648497186,0.09452854696441818,0.058287719142956836,0.11799537221486588,0.005330225662920244,0.005501993008647363,1.0964693912722374,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0266725296481801,0.0899357192590495,0.0627671046908258,0.1155592256142026,1.084556236230105,,textured_floor
0.8300000000000001,0.02476221203908575,0.09570663152465976,0.05864075897475564,0.11762153983345235,0.005330225662920244,0.005501993008647363,1.0757051265505548,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0273071098055923,0.0910927367943038,0.0634580157412251,0.1157017535254285,1.08494395639926,,textured_floor
